Criterion,Compliance_pct,SEM
Lipinski compliant,10.0,9.486832980505138
High GI absorption,10.0,9.486832980505138
P-gp non-substrate,10.0,9.486832980505138
Bioavailability ≥ 0.55,20.0,12.64911064067352
