Metric,Mean,SEM
Consensus Log P,-5.05,0.7284214286920571
#H-bond acceptors,15.3,1.4302291968616623
#H-bond donors,12.0,1.1055415967851332
#Rotatable bonds,11.4,1.469693845669907
Bioavailability Score,0.246,0.050666666666666665
Synthetic Accessibility,6.456,0.5545913410391073
