Stars,Title,PUBCHEM_CONFORMER_RMSD,docking score,glide emodel,glide gscore
,ZINC63399436,,-5.016,-56.108,-5.016
,ZINC63399436,,-5.016,-56.108,-5.016
,ZINC33662094,,-5.015,-55.785,-5.015
,ZINC94356580,,-5.006,-37.806,-5.006
,ZINC92115055,,-4.998,-41.619,-4.998
,ZINC94095471,,-4.996,-49.028,-4.996
,ZINC21079308,,-4.996,-55.573,-5.709
,ZINC38488116,,-4.996,-58.66,-5.043
,ZINC06062576,,-4.995,-54.143,-4.995
,ZINC21079077,,-4.993,-54.009,-5.442
,ZINC56826185,,-4.992,-57.485,-4.992
,ZINC31516802,,-4.98,-45.559,-5.036
,ZINC31516802,,-4.98,-45.559,-5.036
,ZINC83316047,,-4.967,-54.244,-4.967
,ZINC16497907,,-4.963,-55.301,-4.963
,ZINC16497907,,-4.963,-55.301,-4.963
,ZINC46339131,,-4.959,-51.625,-4.959
,ZINC94355694,,-4.952,-38.755,-4.952
,ZINC95453156,,-4.951,-47.835,-4.951
,ZINC39962443,,-4.946,-66.848,-5.237
,ZINC53996410,,-4.938,-52.317,-4.994
,ZINC68193670,,-4.927,-48.428,-4.931
,ZINC80751999,,-4.926,-56.063,-4.926
,ZINC95399245,,-4.922,-43.387,-4.922
,ZINC95399245,,-4.922,-43.387,-4.922
,ZINC46607519,,-4.917,-56.935,-4.917
,ZINC54624892,,-4.915,-52.007,-4.915
,ZINC63240012,,-4.915,-56.028,-4.915
,ZINC67650012,,-4.913,-53.761,-4.913
,ZINC50862146,,-4.913,-60.15,-4.919
,ZINC15864501,,-4.906,-42.665,-4.906
,ZINC15864501,,-4.906,-42.665,-4.906
,ZINC63075025,,-4.901,-61.741,-4.901
,ZINC94194738,,-4.899,-45.889,-4.899
,ZINC90551635,,-4.899,-56.296,-4.912
,ZINC59399144,,-4.893,-49.061,-4.893
,ZINC40586421,,-4.889,-51.102,-5.456
,ZINC72088751,,-4.881,-50.499,-4.881
,ZINC63075097,,-4.871,-57.405,-4.871
,ZINC90709745,,-4.871,-52.154,-4.887
,ZINC70950316,,-4.864,-52.014,-4.95
,ZINC28817792,,-4.864,-51.486,-4.868
,ZINC28817792,,-4.864,-51.486,-4.868
,ZINC28817792,,-4.864,-51.486,-4.868
,ZINC28817792,,-4.864,-51.486,-4.868
,ZINC94095711,,-4.855,-44.05,-4.855
,ZINC94095711,,-4.855,-44.05,-4.855
,ZINC63290984,,-4.853,-58.614,-5.012
,ZINC93847562,,-4.853,-48.621,-5.078
,ZINC70901950,,-4.851,-54.582,-4.851
,ZINC13544798,,-4.851,-58.203,-4.851
,ZINC94356701,,-4.85,-45.505,-4.85
,ZINC94356701,,-4.85,-45.505,-4.85
,ZINC58992090,,-4.849,-59.127,-4.851
,ZINC06509483,,-4.847,-46.811,-4.865
,ZINC06509483,,-4.847,-46.811,-4.865
,ZINC02616742,,-4.839,-52.735,-4.839
,ZINC02616742,,-4.839,-52.735,-4.839
,ZINC02616742,,-4.839,-52.735,-4.839
,ZINC02616742,,-4.839,-52.735,-4.839
,ZINC58987273,,-4.837,-59.351,-4.887
,ZINC05595943,,-4.83,-47.225,-4.842
,ZINC05595943,,-4.83,-47.225,-4.842
,ZINC59942061,,-4.828,-62.455,-4.828
,ZINC91623414,,-4.824,-43.468,-4.831
,ZINC93834644,,-4.824,-45.822,-5.049
,ZINC19932743,,-4.814,-41.851,-4.814
,ZINC20285153,,-4.811,-36.734,-4.811
,ZINC13981167,,-4.808,-57.323,-4.808
,ZINC93483341,,-4.808,-46.621,-4.826
,ZINC76698601,,-4.803,-53.446,-5.137
,ZINC93304351,,-4.799,-49.021,-4.879
,ZINC63625969,,-4.798,-58.478,-4.799
,ZINC12175146,,-4.793,-48.177,-4.793
,ZINC04565390,,-4.781,-39.791,-4.781
,ZINC20905423,,-4.781,-53.293,-4.837
,ZINC63083813,,-4.78,-54.28,-4.78
,ZINC16525458,,-4.779,-44.342,-4.812
,ZINC38517319,,-4.779,-45.201,-4.826
,ZINC58047083,,-4.779,-43.125,-5.217
,ZINC93834460,,-4.778,-49.077,-5.004
,ZINC63399455,,-4.77,-53.053,-4.77
,ZINC63720166,,-4.768,-52.965,-4.768
,ZINC63399459,,-4.765,-52.956,-4.765
,ZINC40166146,,-4.762,-44.575,-5.596
,ZINC40166146,,-4.762,-44.575,-5.596
,ZINC48274224,,-4.759,-52.832,-4.914
,ZINC63985126,,-4.756,-39.063,-4.756
,ZINC90058271,,-4.754,-53.565,-4.778
,ZINC11608199,,-4.754,-49.219,-4.754
,ZINC39211833,,-4.753,-57.256,-4.768
,ZINC70460630,,-4.751,-49.871,-4.946
,ZINC39715710,,-4.748,-74.778,-6.531
,ZINC02172511,,-4.74,-54.596,-4.74
,ZINC49363064,,-4.733,-50.316,-4.733
,ZINC21040226,,-4.733,-58.604,-4.789
,ZINC70460554,,-4.732,-43.155,-4.739
,ZINC70460554,,-4.732,-43.155,-4.739
,ZINC20494184,,-4.73,-53.743,-5.034
,ZINC93834613,,-4.727,-40.919,-4.727
,ZINC94356697,,-4.723,-44.361,-4.723
,ZINC77311819,,-4.721,-54.145,-4.721
,ZINC77311819,,-4.721,-54.145,-4.721
,ZINC42910328,,-4.72,-42.555,-4.726
,ZINC34846499,,-4.72,-53.49,-4.731
,ZINC34846499,,-4.72,-53.49,-4.731
,ZINC59564513,,-4.715,-52.4,-4.715
,ZINC90526535,,-4.712,-43.668,-4.723
,ZINC20072114,,-4.71,-61.54,-4.71
,ZINC94194675,,-4.707,-44.877,-4.707
,ZINC06716095,,-4.704,-39.101,-4.704
,ZINC56027313,,-4.702,-47.902,-4.702
,ZINC56027313,,-4.702,-47.902,-4.702
,ZINC44954754,,-4.701,-50.996,-4.757
,ZINC12502120,,-4.701,-61.178,-4.701
,ZINC12502120,,-4.701,-61.178,-4.701
,ZINC12502120,,-4.701,-61.178,-4.701
,ZINC12502120,,-4.701,-61.178,-4.701
,ZINC30057773,,-4.69,-44.834,-4.69
,ZINC71895756,,-4.69,-46.125,-4.69
,ZINC81348810,,-4.685,-54.279,-4.685
,ZINC93834633,,-4.684,-37.896,-4.684
,ZINC50704562,,-4.682,-56.405,-4.733
,ZINC39205285,,-4.671,-63.869,-5.563
,ZINC39205285,,-4.671,-63.869,-5.563
,ZINC04686385,,-4.67,-44.734,-4.67
,ZINC60321751,,-4.667,-61.057,-4.711
,ZINC78664254,,-4.664,-54.987,-4.664
,ZINC78664254,,-4.664,-54.987,-4.664
,ZINC38491987,,-4.66,-44.248,-4.66
,ZINC89728076,,-4.66,-48.994,-4.686
,ZINC21039725,,-4.652,-49.475,-4.664
,ZINC75748088,,-4.649,-44.976,-4.835
,ZINC06027854,,-4.646,-52.983,-4.646
,ZINC05580239,,-4.645,-59.891,-4.645
,ZINC39920154,,-4.641,-58.414,-4.642
,ZINC38577584,,-4.636,-47.498,-4.776
,ZINC38577584,,-4.636,-47.498,-4.776
,ZINC07020474,,-4.632,-50.964,-4.632
,ZINC75532933,,-4.631,-46.984,-4.646
,ZINC09630515,,-4.621,-53.356,-4.639
,ZINC09630515,,-4.621,-53.356,-4.639
,ZINC35163866,,-4.619,-61.788,-4.753
,ZINC63941115,,-4.617,-49.957,-4.617
,ZINC03158541,,-4.617,-47.528,-4.617
,ZINC03158541,,-4.617,-47.528,-4.617
