Stars,Title,PUBCHEM_PHARMACOPHORE_FEATURES,docking score,glide emodel,glide gscore,Formula
,ZINC92124798,,-5.416,-60.506,-5.605,
,ZINC92123756,,-5.396,-55.826,-5.542,
,ZINC72332893,,-5.343,-89.483,-6.093,
,ZINC72332893,,-5.343,-89.483,-6.093,
,ZINC72332893,,-5.343,-89.483,-6.093,
,ZINC00402630,,-5.34,-45.536,-5.352,
,ZINC92120688,,-5.306,-58.467,-5.491,
,ZINC92120688,,-5.306,-58.467,-5.491,
,ZINC83251324,,-5.306,-42.129,-5.307,
,ZINC77270907,,-5.289,-83.47,-7.157,
,ZINC77270907,,-5.289,-83.47,-7.157,
,ZINC77270907,,-5.289,-83.47,-7.157,
,ZINC77270907,,-5.289,-83.47,-7.157,
,ZINC77270907,,-5.289,-83.47,-7.157,
,ZINC77270907,,-5.289,-83.47,-7.157,
,ZINC92123022,,-5.257,-52.565,-5.444,
,ZINC92107889,,-5.232,-51.866,-5.495,
,ZINC92120077,,-5.232,-53.967,-5.368,
,ZINC92120077,,-5.232,-53.967,-5.368,
,ZINC92120077,,-5.232,-53.967,-5.368,
,ZINC72400628,,-5.221,-80.274,-5.532,
,ZINC81349600,,-5.202,-58.15,-5.596,
,ZINC67840711,,-5.201,-54.347,-5.386,
,ZINC92123374,,-5.189,-51.287,-5.377,
,ZINC92122013,,-5.181,-55.404,-5.39,
,ZINC92120912,,-5.18,-45.758,-5.355,
,ZINC72400629,,-5.172,-84.42,-6.659,
,ZINC72400629,,-5.172,-84.42,-6.659,
,ZINC72400629,,-5.172,-84.42,-6.659,
,ZINC72400629,,-5.172,-84.42,-6.659,
,ZINC72400629,,-5.172,-84.42,-6.659,
,ZINC73856368,,-5.17,-51.287,-5.565,
,ZINC92123126,,-5.17,-54.591,-5.306,
,ZINC92123126,,-5.17,-54.591,-5.306,
,ZINC92117604,,-5.165,-55.946,-5.319,
,ZINC92117604,,-5.165,-55.946,-5.319,
,ZINC92107584,,-5.16,-51.07,-5.299,
,ZINC92107584,,-5.16,-51.07,-5.299,
,ZINC72332894,,-5.155,-67.226,-5.809,
,ZINC72332894,,-5.155,-67.226,-5.809,
,ZINC72400629,,-5.124,-81.269,-6.421,
,ZINC72400629,,-5.124,-81.269,-6.421,
,ZINC72400629,,-5.124,-81.269,-6.421,
,ZINC72400629,,-5.124,-81.269,-6.421,
,ZINC72400629,,-5.124,-81.269,-6.421,
,ZINC77270903,,-5.116,-76.419,-5.78,
,ZINC77270903,,-5.116,-76.419,-5.78,
,ZINC92124108,,-5.111,-46.094,-5.286,
,ZINC14760999,,-5.104,-49.462,-5.587,
,ZINC92124529,,-5.086,-43.96,-5.224,
,ZINC92124529,,-5.086,-43.96,-5.224,
,ZINC77270907,,-5.077,-103.561,-6.672,
,ZINC77270907,,-5.077,-103.561,-6.672,
,ZINC77270907,,-5.077,-103.561,-6.672,
,ZINC77270907,,-5.077,-103.561,-6.672,
,ZINC77270907,,-5.077,-103.561,-6.672,
,ZINC77270907,,-5.077,-103.561,-6.672,
,ZINC77291590,,-5.073,-100.859,-6.357,
,ZINC77291590,,-5.073,-100.859,-6.357,
,ZINC77291590,,-5.073,-100.859,-6.357,
,ZINC77291590,,-5.073,-100.859,-6.357,
,ZINC77291590,,-5.073,-100.859,-6.357,
,ZINC77291590,,-5.073,-100.859,-6.357,
,ZINC77291590,,-5.073,-100.859,-6.357,
,ZINC92123835,,-5.071,-47.854,-5.249,
,ZINC92127155,,-5.071,-46.541,-5.242,
,ZINC77291612,,-5.052,-101.286,-6.348,
,ZINC92122101,,-5.051,-45.057,-5.236,
,ZINC92122101,,-5.051,-45.057,-5.236,
,ZINC92107891,,-5.039,-50.851,-5.303,
,ZINC92106416,,-5.034,-34.305,-5.179,
,ZINC00998212,,-5.034,-45.328,-5.035,
,ZINC92126936,,-5.012,-50.201,-5.16,
,ZINC92107857,,-5.01,-50.484,-5.204,
,ZINC92107891,,-5.007,-50.011,-5.27,
,ZINC92120270,,-5.001,-57.818,-5.672,
,ZINC92120270,,-5.001,-57.818,-5.672,
,ZINC77312540,,-5,-80.075,-5.512,
,ZINC92121005,,-4.99,-45.885,-5.18,
,ZINC67589040,,-4.988,-52.291,-5.546,
,ZINC77319963,,-4.969,-94.026,-6.331,
,ZINC77319963,,-4.969,-94.026,-6.331,
,ZINC77319963,,-4.969,-94.026,-6.331,
,ZINC77270885,,-4.968,-86.182,-6.265,
,ZINC77270885,,-4.968,-86.182,-6.265,
,ZINC92123188,,-4.958,-45.022,-5.1,
,ZINC89675936,,-4.957,-51.727,-5.378,
,ZINC92119582,,-4.952,-49.099,-5.1,
,ZINC77273272,,-4.951,-78.579,-6.385,
,ZINC77273272,,-4.951,-78.579,-6.385,
,ZINC77273272,,-4.951,-78.579,-6.385,
,ZINC77273272,,-4.951,-78.579,-6.385,
,ZINC77273272,,-4.951,-78.579,-6.385,
,ZINC77273272,,-4.951,-78.579,-6.385,
,ZINC77273272,,-4.951,-78.579,-6.385,
,ZINC77273272,,-4.951,-78.579,-6.385,
,ZINC92102573,,-4.945,-45.975,-5.085,
,ZINC38139392,,-4.944,-69.429,-5.149,
,ZINC92125137,,-4.939,-44.762,-5.815,
,ZINC92125137,,-4.939,-44.762,-5.815,
,ZINC92121708,,-4.929,-47.946,-5.076,
,ZINC92123698,,-4.922,-50.794,-5.065,
,ZINC92123698,,-4.922,-50.794,-5.065,
,ZINC92125494,,-4.92,-51.815,-5.105,
,ZINC92125494,,-4.92,-51.815,-5.105,
,ZINC92125494,,-4.92,-51.815,-5.105,
,ZINC77273286,,-4.909,-95.434,-6.403,
,ZINC77273286,,-4.909,-95.434,-6.403,
,ZINC94798658,,-4.907,-50.228,-5.21,
,ZINC92103513,,-4.9,-47.721,-5.038,
,ZINC92107577,,-4.882,-51.992,-5.018,
,ZINC92103246,,-4.881,-45.456,-5.034,
,ZINC92121421,,-4.873,-48.685,-5.021,
,ZINC77273286,,-4.873,-87.483,-6.381,
,ZINC77273286,,-4.873,-87.483,-6.381,
,ZINC92107889,,-4.866,-51.064,-5.129,
,ZINC92120459,,-4.859,-51.286,-5.255,
,ZINC92120459,,-4.859,-51.286,-5.255,
,ZINC92122404,,-4.859,-46.495,-5.044,
,ZINC92122404,,-4.859,-46.495,-5.044,
,ZINC92123780,,-4.847,-55.065,-5.033,
,ZINC77273277,,-4.843,-88.355,-6.277,
,ZINC92125313,,-4.842,-51.088,-5.031,
,ZINC92124467,,-4.83,-50.466,-5.036,
,ZINC92124467,,-4.83,-50.466,-5.036,
,ZINC72400631,,-4.824,-87.913,-6.392,
,ZINC72400631,,-4.824,-87.913,-6.392,
,ZINC72400631,,-4.824,-87.913,-6.392,
,ZINC72400631,,-4.824,-87.913,-6.392,
,ZINC92126540,,-4.819,-55.284,-4.959,
,ZINC72399348,,-4.818,-86.07,-6.114,
,ZINC72399348,,-4.818,-86.07,-6.114,
,ZINC72399348,,-4.818,-86.07,-6.114,
,ZINC72399348,,-4.818,-86.07,-6.114,
,ZINC92122303,,-4.791,-48.484,-5.047,
,ZINC92122303,,-4.791,-48.484,-5.047,
,ZINC77273277,,-4.781,-79.723,-6.276,
,ZINC77291604,,-4.775,-86.571,-6.071,
,ZINC77291604,,-4.775,-86.571,-6.071,
,ZINC72332894,,-4.772,-67.403,-5.858,
,ZINC72332894,,-4.772,-67.403,-5.858,
,ZINC67724648,,-4.772,-51.123,-4.917,
,ZINC67724648,,-4.772,-51.123,-4.917,
,ZINC72400629,,-4.768,-87.909,-6.307,
,ZINC72400629,,-4.768,-87.909,-6.307,
,ZINC72400629,,-4.768,-87.909,-6.307,
,ZINC72400629,,-4.768,-87.909,-6.307,
,ZINC72400629,,-4.768,-87.909,-6.307,
,ZINC92106217,,-4.762,-49.813,-4.922,
,ZINC92106217,,-4.762,-49.813,-4.922,
,ZINC92106217,,-4.762,-49.813,-4.922,
,ZINC72399347,,-4.757,-79.101,-6.053,
,ZINC72399347,,-4.757,-79.101,-6.053,
,ZINC92123610,,-4.756,-48.114,-4.892,
,ZINC92123610,,-4.756,-48.114,-4.892,
,ZINC92121611,,-4.754,-47.36,-4.99,
,ZINC92121611,,-4.754,-47.36,-4.99,
,ZINC92122822,,-4.751,-44.088,-4.891,
,ZINC81453724,,-4.751,-50.663,-5.145,
,ZINC83251327,,-4.75,-44.994,-4.75,
,ZINC92107594,,-4.743,-39.945,-4.872,
,ZINC92124665,,-4.742,-49.872,-4.882,
,ZINC92124665,,-4.742,-49.872,-4.882,
,ZINC92122084,,-4.737,-46.148,-4.883,
,ZINC83251291,,-4.731,-36.537,-4.731,
,ZINC92106354,,-4.724,-54.827,-4.895,
,ZINC92125811,,-4.71,-46.421,-4.898,
,ZINC92123725,,-4.706,-42.633,-4.823,
,ZINC92121284,,-4.698,-43.567,-4.858,
,ZINC92121613,,-4.694,-48.745,-4.931,
,ZINC77312540,,-4.685,-82.826,-5.579,
,ZINC92122824,,-4.684,-45.752,-4.831,
,ZINC92122824,,-4.684,-45.752,-4.831,
,ZINC77286907,,-4.683,-65.573,-6.231,
,ZINC72332893,,-4.681,-76.612,-5.767,
,ZINC72332893,,-4.681,-76.612,-5.767,
,ZINC72332893,,-4.681,-76.612,-5.767,
