Stars,Title,docking score,glide emodel,glide gscore,Formula
,ZINC20709066,-4.481,-42.31,-4.569,
,ZINC07169137,-4.472,-56.764,-4.472,
,ZINC16923177,-4.471,-44.557,-4.471,
,ZINC12771140,-4.465,-55.377,-4.486,
,ZINC12771140,-4.465,-55.377,-4.486,
,ZINC12771140,-4.465,-55.377,-4.486,
,ZINC13733992,-4.462,-54.768,-4.462,
,ZINC33253617,-4.453,-50.808,-4.478,
,ZINC33253617,-4.453,-50.808,-4.478,
,ZINC34781667,-4.452,-51.056,-5.074,
,ZINC34781667,-4.452,-51.056,-5.074,
,ZINC90779921,-4.452,-47.086,-4.457,
,ZINC08994703,-4.451,-58.912,-4.459,
,ZINC33943584,-4.432,-43.495,-4.651,
,ZINC35397594,-4.43,-41.239,-4.431,
,ZINC35397594,-4.43,-41.239,-4.431,
,ZINC79757741,-4.421,-53.819,-4.422,
,ZINC35397670,-4.411,-39.035,-4.412,
,ZINC35397670,-4.411,-39.035,-4.412,
,ZINC35397608,-4.402,-40.445,-4.402,
,ZINC35397608,-4.402,-40.445,-4.402,
,ZINC35397608,-4.402,-40.445,-4.402,
,ZINC35397608,-4.402,-40.445,-4.402,
,ZINC07890953,-4.367,-55.272,-4.367,
,ZINC07890953,-4.367,-55.272,-4.367,
,ZINC16922821,-4.366,-50.222,-4.366,
,ZINC16925394,-4.364,-52.626,-4.364,
,ZINC90452205,-4.352,-46.019,-4.571,
,ZINC35397619,-4.35,-41.097,-4.35,
,ZINC35397619,-4.35,-41.097,-4.35,
,ZINC33253487,-4.337,-47.856,-4.618,
,ZINC33253487,-4.337,-47.856,-4.618,
,ZINC12881641,-4.335,-47.846,-4.341,
,ZINC84845375,-4.332,-48.787,-4.348,
,ZINC13843248,-4.33,-52.339,-4.331,
,ZINC16924901,-4.326,-50.296,-4.326,
,ZINC16923298,-4.324,-48.953,-4.324,
,ZINC59379184,-4.319,-42.674,-4.377,
,ZINC59379184,-4.319,-42.674,-4.377,
,ZINC64580577,-4.317,-47.761,-4.437,
,ZINC64580577,-4.317,-47.761,-4.437,
,ZINC03914240,-4.31,-53.312,-4.31,
,ZINC03914240,-4.31,-53.312,-4.31,
,ZINC03914240,-4.31,-53.312,-4.31,
,ZINC03914240,-4.31,-53.312,-4.31,
,ZINC03914240,-4.31,-53.312,-4.31,
,ZINC03914240,-4.31,-53.312,-4.31,
,ZINC21807893,-4.305,-44.78,-4.361,
,ZINC21807893,-4.305,-44.78,-4.361,
,ZINC12372118,-4.292,-50.466,-4.293,
,ZINC16925201,-4.291,-50.368,-4.291,
,ZINC16923154,-4.289,-52.088,-4.289,
,ZINC16923809,-4.286,-49.759,-4.286,
,ZINC16924001,-4.282,-48.877,-4.283,
,ZINC16926402,-4.272,-56.223,-4.986,
,ZINC16926402,-4.272,-56.223,-4.986,
,ZINC12742911,-4.264,-52.117,-4.285,
,ZINC12742911,-4.264,-52.117,-4.285,
,ZINC16924881,-4.261,-51.027,-4.261,
,ZINC72283740,-4.25,-59.403,-4.424,
,ZINC72283740,-4.25,-59.403,-4.424,
,ZINC72283740,-4.25,-59.403,-4.424,
,ZINC72283740,-4.25,-59.403,-4.424,
,ZINC72283740,-4.25,-59.403,-4.424,
,ZINC72283740,-4.25,-59.403,-4.424,
,ZINC72283740,-4.25,-59.403,-4.424,
,ZINC72283740,-4.25,-59.403,-4.424,
,ZINC41842036,-4.246,-40.588,-4.263,
,ZINC41842036,-4.246,-40.588,-4.263,
,ZINC65459391,-4.24,-35.29,-4.266,
,ZINC65459391,-4.24,-35.29,-4.266,
,ZINC71811364,-4.219,-53.342,-4.219,
,ZINC64580578,-4.21,-45.032,-4.327,
,ZINC64580578,-4.21,-45.032,-4.327,
,ZINC09546105,-4.208,-51.257,-4.434,
,ZINC35397429,-4.204,-39.198,-4.205,
,ZINC35397429,-4.204,-39.198,-4.205,
,ZINC12805727,-4.201,-64.893,-5.463,
,ZINC12805727,-4.201,-64.893,-5.463,
,ZINC08584438,-4.2,-50.706,-4.205,
,ZINC08584438,-4.2,-50.706,-4.205,
,ZINC35397613,-4.198,-41.483,-4.198,
,ZINC35397613,-4.198,-41.483,-4.198,
,ZINC35397613,-4.198,-41.483,-4.198,
,ZINC35397613,-4.198,-41.483,-4.198,
,ZINC63857111,-4.197,-33.051,-4.198,
,ZINC16926211,-4.196,-52.442,-4.408,
,ZINC00754853,-4.193,-44.366,-4.204,
,ZINC20144741,-4.19,-41.009,-4.19,
,ZINC78541425,-4.187,-45.129,-4.191,
,ZINC78541425,-4.187,-45.129,-4.191,
,ZINC06033985,-4.185,-53.068,-4.185,
,ZINC06033985,-4.185,-53.068,-4.185,
,ZINC64580545,-4.183,-40.385,-4.256,
,ZINC64580545,-4.183,-40.385,-4.256,
,ZINC64580601,-4.177,-46.629,-4.294,
,ZINC64580601,-4.177,-46.629,-4.294,
,ZINC84579218,-4.175,-36.304,-4.175,
,ZINC70639139,-4.162,-53.797,-4.46,
,ZINC16926097,-4.16,-51.881,-4.164,
,ZINC14033530,-4.153,-54.225,-4.153,
,ZINC64843323,-4.151,-45.836,-4.151,
,ZINC64843323,-4.151,-45.836,-4.151,
,ZINC35397581,-4.141,-40.553,-4.142,
,ZINC35397581,-4.141,-40.553,-4.142,
,ZINC28467879,-4.138,-51.715,-4.14,
,ZINC28467879,-4.138,-51.715,-4.14,
,ZINC28467879,-4.138,-51.715,-4.14,
,ZINC28467879,-4.138,-51.715,-4.14,
,ZINC28467879,-4.138,-51.715,-4.14,
,ZINC28467879,-4.138,-51.715,-4.14,
,ZINC37730504,-4.123,-44.049,-4.637,
,ZINC37730504,-4.123,-44.049,-4.637,
,ZINC12913815,-4.123,-47.817,-4.178,
,ZINC02254500,-4.115,-45.247,-4.115,
,ZINC02254500,-4.115,-45.247,-4.115,
,ZINC16923162,-4.112,-45.48,-4.113,
,ZINC16923162,-4.112,-45.48,-4.113,
,ZINC17902793,-4.105,-47.589,-4.105,
,ZINC64580574,-4.104,-48.676,-4.225,
,ZINC64580574,-4.104,-48.676,-4.225,
,ZINC38971395,-4.096,-45.833,-4.097,
,ZINC05799384,-4.095,-45.022,-4.23,
,ZINC12821879,-4.091,-54.875,-4.096,
,ZINC03956905,-4.09,-48.387,-4.09,
,ZINC26249456,-4.088,-47.021,-4.088,
,ZINC26249456,-4.088,-47.021,-4.088,
,ZINC26249456,-4.088,-47.021,-4.088,
,ZINC26249456,-4.088,-47.021,-4.088,
,ZINC89269219,-4.085,-41.962,-4.085,
,ZINC64843318,-4.083,-42.742,-4.083,
,ZINC64843318,-4.083,-42.742,-4.083,
,ZINC13000695,-4.081,-49.29,-4.081,
,ZINC13000695,-4.081,-49.29,-4.081,
,ZINC64580576,-4.078,-46.876,-4.193,
,ZINC64580576,-4.078,-46.876,-4.193,
,ZINC94617426,-4.077,-31.499,-4.079,
,ZINC35397419,-4.074,-38.934,-4.075,
,ZINC35397419,-4.074,-38.934,-4.075,
,ZINC37730504,-4.073,-46.22,-4.586,
,ZINC37730504,-4.073,-46.22,-4.586,
,ZINC35397377,-4.072,-37.41,-4.073,
,ZINC35397377,-4.072,-37.41,-4.073,
,ZINC66859883,-4.071,-38.794,-4.071,
,ZINC16922937,-4.07,-51.161,-4.28,
,ZINC21986098,-4.062,-46.806,-4.062,
,ZINC21986098,-4.062,-46.806,-4.062,
,ZINC21986098,-4.062,-46.806,-4.062,
,ZINC21986098,-4.062,-46.806,-4.062,
,ZINC16925754,-4.059,-44.962,-4.06,
,ZINC17902791,-4.059,-48.883,-4.064,
,ZINC36378487,-4.059,-42.534,-4.276,
,ZINC16925182,-4.058,-49.446,-4.268,
,ZINC16922850,-4.048,-44.039,-4.049,
,ZINC16925950,-4.042,-45.797,-4.042,
,ZINC12856856,-4.038,-54.635,-4.113,
,ZINC12856856,-4.038,-54.635,-4.113,
,ZINC12856856,-4.038,-54.635,-4.113,
,ZINC35397615,-4.038,-40.045,-4.039,
,ZINC35397615,-4.038,-40.045,-4.039,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC95101146,-4.032,-49.318,-4.032,
,ZINC35397616,-4.027,-36.516,-4.028,
,ZINC35397616,-4.027,-36.516,-4.028,
,ZINC35397616,-4.027,-36.516,-4.028,
,ZINC35397616,-4.027,-36.516,-4.028,
,ZINC64580546,-4.026,-40.611,-4.1,
,ZINC64580546,-4.026,-40.611,-4.1,
,ZINC92687997,-4.026,-38.328,-4.026,
,ZINC64843339,-4.018,-41.826,-4.045,
,ZINC64843339,-4.018,-41.826,-4.045,
,ZINC21992923,-4.009,-48.694,-4.014,
,ZINC21992923,-4.009,-48.694,-4.014,
,ZINC19850932,-4.005,-52.125,-4.009,
,ZINC19850932,-4.005,-52.125,-4.009,
,ZINC91054416,-4,-36.038,-4.03,
,ZINC91054416,-4,-36.038,-4.03,
,ZINC77285513,-3.997,-49.538,-4.67,
,ZINC77285513,-3.997,-49.538,-4.67,
,ZINC92688024,-3.995,-36.345,-3.995,
,ZINC35397590,-3.993,-39.152,-3.994,
,ZINC35397590,-3.993,-39.152,-3.994,
,ZINC12997659,-3.992,-51.843,-3.992,
,ZINC12997659,-3.992,-51.843,-3.992,
,ZINC12997659,-3.992,-51.843,-3.992,
,ZINC64982829,-3.991,-45.824,-3.991,
,ZINC35397441,-3.991,-44.949,-3.991,
,ZINC35397441,-3.991,-44.949,-3.991,
,ZINC35397441,-3.991,-44.949,-3.991,
,ZINC35397441,-3.991,-44.949,-3.991,
,ZINC12856836,-3.989,-50.976,-4.01,
,ZINC12856836,-3.989,-50.976,-4.01,
,ZINC12856836,-3.989,-50.976,-4.01,
,ZINC12856836,-3.989,-50.976,-4.01,
,ZINC12856836,-3.989,-50.976,-4.01,
,ZINC12856836,-3.989,-50.976,-4.01,
,ZINC35397434,-3.988,-43.19,-3.989,
,ZINC35397434,-3.988,-43.19,-3.989,
,ZINC52940736,-3.979,-46.783,-4.181,
,ZINC08106318,-3.979,-44.081,-3.979,
,ZINC35685482,-3.978,-43.993,-4.028,
,ZINC68254830,-3.977,-35.575,-4.002,
,ZINC68254830,-3.977,-35.575,-4.002,
,ZINC64580552,-3.972,-44.339,-4.044,
,ZINC64580552,-3.972,-44.339,-4.044,
,ZINC13552105,-3.97,-42.287,-3.97,
,ZINC13552105,-3.97,-42.287,-3.97,
,ZINC13552105,-3.97,-42.287,-3.97,
,ZINC13552105,-3.97,-42.287,-3.97,
,ZINC91504369,-3.969,-34.396,-3.969,
,ZINC64843453,-3.964,-38.426,-3.964,
,ZINC64843453,-3.964,-38.426,-3.964,
