Metric,Mean,SEM
Consensus Log P,2.088,0.300332408433648
#H-bond acceptors,4.8,0.41633319989322654
#H-bond donors,2.8,0.44221663871405326
#Rotatable bonds,5.6,0.7916228058025278
Bioavailability Score,0.55,0.0
Synthetic Accessibility,3.2260000000000004,0.2027214838146169
log Kp (cm/s),-7.019,0.19426471058269376
