Criterion,Compliance_pct,SEM
Lipinski compliant,90.0,9.486832980505138
High GI absorption,90.0,9.486832980505138
P-gp non-substrate,40.0,15.491933384829668
Bioavailability ≥ 0.55,100.0,0.0
