Stars,Title,MMGBSA dG Bind,Lig Strain Energy
,ZINC64580577,-22.55,11.971349
,ZINC03914240,-30.47,13.857988
,ZINC03914240,-30.47,13.857988
,ZINC03914240,-30.47,13.857988
,ZINC03914240,-30.47,13.857988
,ZINC03914240,-30.47,13.857988
,ZINC03914240,-30.47,13.857988
,ZINC21807893,-17.16,7.515481
,ZINC21807893,-17.16,7.515481
,ZINC12372118,-21.5,7.957669
,ZINC16925201,-33.84,5.834335
,ZINC16923154,-33.18,5.710786
,ZINC16923809,-32.88,5.878393
,ZINC16924001,-30.32,3.312726
,ZINC16926402,-38.39,7.713942
,ZINC16926402,-38.39,7.713942
,ZINC12742911,-27.44,18.425902
,ZINC12742911,-27.44,18.425902
,ZINC16924881,-31.32,6.970183
,ZINC72283740,-18.99,5.868369
,ZINC72283740,-18.99,5.868369
,ZINC72283740,-18.99,5.868369
,ZINC72283740,-18.99,5.868369
,ZINC72283740,-18.99,5.868369
,ZINC72283740,-18.99,5.868369
,ZINC72283740,-18.99,5.868369
,ZINC72283740,-18.99,5.868369
,ZINC41842036,-29.72,3.534173
,ZINC41842036,-29.72,3.534173
,ZINC65459391,-10.36,6.181967
,ZINC65459391,-10.36,6.181967
,ZINC71811364,-38.79,7.503772
,ZINC64580578,-26.15,11.175529
,ZINC64580578,-26.15,11.175529
,ZINC09546105,-29.75,9.761947
,ZINC35397429,-17.94,3.568518
,ZINC35397429,-17.94,3.568518
,ZINC12805727,-37.16,13.393672
,ZINC12805727,-37.16,13.393672
,ZINC08584438,-23.12,8.02993
,ZINC08584438,-23.12,8.02993
,ZINC35397613,-16.48,6.644432
,ZINC35397613,-16.48,6.644432
,ZINC35397613,-16.48,6.644432
,ZINC35397613,-16.48,6.644432
,ZINC63857111,-19.99,1.50562
,ZINC16926211,-20.35,5.132802
,ZINC00754853,-17.83,4.419731
,ZINC20144741,-22.62,3.859657
,ZINC78541425,-28.09,8.627965
,ZINC78541425,-28.09,8.627965
,ZINC06033985,-37.65,7.015599
,ZINC06033985,-37.65,7.015599
,ZINC64580545,-18.66,2.441803
,ZINC64580545,-18.66,2.441803
,ZINC64580601,-38.01,5.846539
,ZINC64580601,-38.01,5.846539
,ZINC84579218,-26.41,1.942811
,ZINC70639139,-30.48,2.673267
,ZINC16926097,-25.64,7.830289
,ZINC14033530,-40.72,18.823552
,ZINC64843323,-28.66,3.511752
,ZINC64843323,-28.66,3.511752
,ZINC35397581,-16.45,6.448146
,ZINC35397581,-16.45,6.448146
,ZINC28467879,-3.53,19.046934
,ZINC28467879,-3.53,19.046934
,ZINC28467879,-3.53,19.046934
,ZINC28467879,-3.53,19.046934
,ZINC28467879,-3.53,19.046934
,ZINC28467879,-3.53,19.046934
,ZINC37730504,-14.85,1.370667
,ZINC37730504,-14.85,1.370667
,ZINC12913815,-32.2,3.905444
,ZINC02254500,-21.44,2.241988
,ZINC02254500,-21.44,2.241988
,ZINC16923162,-29.83,1.8912
,ZINC16923162,-29.83,1.8912
,ZINC17902793,-14.15,14.907367
,ZINC64580574,-35.36,3.94772
,ZINC64580574,-35.36,3.94772
,ZINC38971395,-15.52,5.508749
,ZINC05799384,-25.51,3.619278
,ZINC12821879,-28.27,6.095452
,ZINC03956905,-20.29,11.368903
,ZINC26249456,-18.86,14.161284
,ZINC26249456,-18.86,14.161284
,ZINC26249456,-18.86,14.161284
,ZINC26249456,-18.86,14.161284
,ZINC89269219,-24.5,5.622639
,ZINC64843318,-27.24,2.570601
,ZINC64843318,-27.24,2.570601
,ZINC13000695,-35.9,9.693105
,ZINC13000695,-35.9,9.693105
,ZINC64580576,-42.19,7.43725
,ZINC64580576,-42.19,7.43725
,ZINC94617426,-5.8,3.579264
,ZINC35397419,-17.06,7.831054
,ZINC35397419,-17.06,7.831054
,ZINC37730504,-22.35,2.086061
,ZINC37730504,-22.35,2.086061
,ZINC35397377,-25.87,2.11008
,ZINC35397377,-25.87,2.11008
,ZINC66859883,-35.72,7.600821
,ZINC16922937,-18.35,5.090881
,ZINC21986098,-22.82,9.064977
,ZINC21986098,-22.82,9.064977
,ZINC21986098,-22.82,9.064977
,ZINC21986098,-22.82,9.064977
,ZINC16925754,-24.18,7.000847
,ZINC17902791,-24.81,4.150257
,ZINC36378487,-29.83,1.777448
,ZINC16925182,-24.71,7.179193
,ZINC16922850,-29.55,4.051703
,ZINC16925950,-22.29,3.348086
,ZINC12856856,-44.22,6.557996
,ZINC12856856,-44.22,6.557996
,ZINC12856856,-44.22,6.557996
,ZINC35397615,-18.68,11.12372
,ZINC35397615,-18.68,11.12372
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC95101146,-13.37,8.26294
,ZINC35397616,-10.44,14.100653
,ZINC35397616,-10.44,14.100653
,ZINC35397616,-10.44,14.100653
,ZINC35397616,-10.44,14.100653
,ZINC64580546,-18.07,3.817581
,ZINC64580546,-18.07,3.817581
,ZINC92687997,-33.19,5.839815
,ZINC64843339,-21.19,4.814219
,ZINC64843339,-21.19,4.814219
,ZINC21992923,-18.2,9.453468
,ZINC21992923,-18.2,9.453468
,ZINC19850932,-41.37,10.711413
,ZINC19850932,-41.37,10.711413
,ZINC91054416,-24.76,4.539491
,ZINC91054416,-24.76,4.539491
,ZINC77285513,-21.26,8.864428
,ZINC77285513,-21.26,8.864428
,ZINC92688024,-33.93,6.722889
,ZINC35397590,-24.49,4.184326
,ZINC35397590,-24.49,4.184326
,ZINC12997659,-43.16,5.261298
,ZINC12997659,-43.16,5.261298
,ZINC12997659,-43.16,5.261298
,ZINC64982829,-39.8,5.571247
,ZINC35397441,-22.23,5.883631
,ZINC35397441,-22.23,5.883631
,ZINC35397441,-22.23,5.883631
,ZINC35397441,-22.23,5.883631
,ZINC12856836,-24.89,15.565596
,ZINC12856836,-24.89,15.565596
,ZINC12856836,-24.89,15.565596
,ZINC12856836,-24.89,15.565596
,ZINC12856836,-24.89,15.565596
,ZINC12856836,-24.89,15.565596
,ZINC35397434,-26.73,4.543644
,ZINC35397434,-26.73,4.543644
,ZINC52940736,-17.19,6.754018
,ZINC08106318,-40.17,4.020533
,ZINC35685482,-24.58,3.166102
,ZINC68254830,-9.8,3.885385
,ZINC68254830,-9.8,3.885385
,ZINC64580552,-15.19,4.385753
,ZINC64580552,-15.19,4.385753
,ZINC13552105,-20.74,8.95729
,ZINC13552105,-20.74,8.95729
,ZINC13552105,-20.74,8.95729
,ZINC13552105,-20.74,8.95729
,ZINC91504369,-28.83,2.524493
,ZINC64843453,-21.94,2.959893
,ZINC64843453,-21.94,2.959893
,ZINC04819671,-32.65,6.799369
,ZINC64580538,-16.47,3.080157
,ZINC64580538,-16.47,3.080157
,ZINC22010117,-24.05,13.65058
,ZINC22010117,-24.05,13.65058
,ZINC22010117,-24.05,13.65058
,ZINC22010117,-24.05,13.65058
,ZINC02752691,-37.72,6.689728
,ZINC02752691,-37.72,6.689728
,ZINC02752691,-37.72,6.689728
,ZINC35397422,-28.72,4.172166
,ZINC35397422,-28.72,4.172166
,ZINC16925400,-23.65,2.282956
,ZINC35397583,-11.34,13.28127
,ZINC35397583,-11.34,13.28127
,ZINC35397323,-23.74,5.314637
,ZINC35397323,-23.74,5.314637
,ZINC02891110,-22.15,6.658634
,ZINC58009138,-24.73,0.023638
,ZINC58009138,-24.73,0.023638
,ZINC16924369,-28.04,7.205605
,ZINC16924369,-28.04,7.205605
,ZINC01445186,-38.59,2.81042
,ZINC64982828,-38.7,6.319484
,ZINC14025727,-24.56,10.225157
,ZINC14025727,-24.56,10.225157
,ZINC16924978,-33.44,2.404156
,ZINC77285466,-15.17,11.758289
,ZINC77285466,-15.17,11.758289
,ZINC77285466,-15.17,11.758289
,ZINC77285466,-15.17,11.758289
,ZINC35397324,-13.16,4.896378
,ZINC35397324,-13.16,4.896378
,ZINC36635225,-23.41,4.611106
,ZINC35401887,-26.36,7.098498
,ZINC33253646,-26.57,12.152051
,ZINC33253646,-26.57,12.152051
,ZINC35397337,-23.97,4.445537
,ZINC35397337,-23.97,4.445537
,ZINC64580536,-12.4,5.858968
,ZINC64580536,-12.4,5.858968
,ZINC07062272,-18.93,4.105857
,ZINC39308907,-23.52,4.560652
,ZINC39308907,-23.52,4.560652
,ZINC39308907,-23.52,4.560652
,ZINC39308907,-23.52,4.560652
,ZINC35397326,-25.81,4.462182
,ZINC35397326,-25.81,4.462182
