Stars,Title,MMGBSA dG Bind,Lig Strain Energy
,ZINC91333770,-38.98,5.240591
,ZINC91333770,-38.98,5.240591
,ZINC91333770,-38.98,5.240591
,ZINC91343941,-27.24,2.067359
,ZINC95427632,-31.35,3.496989
,ZINC91333853,-31.94,3.145662
,ZINC63493929,-34.47,1.918994
,ZINC63493929,-34.47,1.918994
,ZINC89510494,-35.76,3.050422
,ZINC89510494,-35.76,3.050422
,ZINC63279801,-35.35,1.50648
,ZINC91316206,-25.3,3.683498
,ZINC82968354,-30.73,3.20382
,ZINC91409109,-19.59,5.065756
,ZINC91409109,-19.59,5.065756
,ZINC91409109,-19.59,5.065756
,ZINC91409109,-19.59,5.065756
,ZINC91409109,-19.59,5.065756
,ZINC72459041,-29.4,2.650796
,ZINC81705016,-28.92,13.055461
,ZINC91248677,-24.96,5.081814
,ZINC91345814,-34.88,3.279089
,ZINC72419924,-31.94,7.251136
,ZINC91314164,-37.06,3.18739
,ZINC91314164,-37.06,3.18739
,ZINC91314164,-37.06,3.18739
,ZINC91314164,-37.06,3.18739
,ZINC15541799,-33.66,2.647663
,ZINC72436581,-36.24,1.118351
,ZINC93352203,-34.46,11.857606
,ZINC77535520,-33.53,6.470885
,ZINC19553238,-36.47,5.572603
,ZINC19553238,-36.47,5.572603
,ZINC19553238,-36.47,5.572603
,ZINC19553238,-36.47,5.572603
,ZINC91306576,-32.99,5.261919
,ZINC91306576,-32.99,5.261919
,ZINC91306576,-32.99,5.261919
,ZINC91306576,-32.99,5.261919
,ZINC89806569,-30.06,4.337314
,ZINC92153225,-31.28,3.162338
,ZINC91407191,-38.87,3.569092
,ZINC91367281,-31.34,4.895087
,ZINC89830154,-35.92,8.837149
,ZINC89830154,-35.92,8.837149
,ZINC89830154,-35.92,8.837149
,ZINC93353020,-32.14,3.321246
,ZINC91284195,-44.26,6.354705
,ZINC91284195,-44.26,6.354705
,ZINC91284195,-44.26,6.354705
,ZINC91369244,-36.65,2.703143
,ZINC20719204,-32,4.021373
,ZINC91405356,-41.91,3.336132
,ZINC91405356,-41.91,3.336132
,ZINC91344539,-35.28,3.066332
,ZINC91344539,-35.28,3.066332
,ZINC91374994,-35.81,3.008927
,ZINC91374994,-35.81,3.008927
,ZINC91348674,-40.31,2.5176
,ZINC93351403,-22.04,11.045477
,ZINC93352892,-24.57,5.044324
,ZINC91407888,-32,4.11044
,ZINC64002763,-14.6,7.718655
,ZINC64002763,-14.6,7.718655
,ZINC64002763,-14.6,7.718655
,ZINC91337157,-34.23,2.537234
,ZINC91401542,-37.43,2.141007
,ZINC91403910,-35.82,4.718345
,ZINC63493915,-40.01,1.879053
,ZINC63493915,-40.01,1.879053
,ZINC91371862,-39.91,5.842195
,ZINC91371862,-39.91,5.842195
,ZINC84341080,-15.67,15.35795
,ZINC84341080,-15.67,15.35795
,ZINC21084195,-48.95,4.271367
,ZINC05613346,-23.45,4.136147
,ZINC93351920,-28.88,3.606646
,ZINC91404989,-24.19,8.996395
,ZINC91345065,-32.88,2.8943
,ZINC91403498,-33.56,9.471775
,ZINC91403498,-33.56,9.471775
,ZINC39796057,-33.71,7.466321
,ZINC93353186,-41.04,2.964033
,ZINC81016494,-18.98,5.49956
,ZINC91335851,-39.66,4.402024
,ZINC78685749,-23.17,9.378808
,ZINC78685749,-23.17,9.378808
,ZINC91344696,-29.23,3.194278
,ZINC91344696,-29.23,3.194278
,ZINC91344696,-29.23,3.194278
,ZINC09421371,-35.21,3.229608
,ZINC72436582,-34.26,4.176271
,ZINC17164709,-24.08,3.010862
,ZINC91348090,-40,1.701531
,ZINC63832144,-29.5,1.777951
,ZINC63832144,-29.5,1.777951
