Criterion,Compliance_pct,SEM
Lipinski compliant,50.0,15.811388300841896
High GI absorption,50.0,15.811388300841896
P-gp non-substrate,80.0,12.649110640673516
Bioavailability ≥ 0.55,90.0,9.486832980505138
