Metric,Mean,SEM
Consensus Log P,1.4010000000000002,0.21562544685944032
#H-bond acceptors,6.7,0.8698658900466593
#H-bond donors,2.4,0.39999999999999997
#Rotatable bonds,6.7,0.42295258468165065
Bioavailability Score,0.506,0.044
Synthetic Accessibility,3.3590000000000004,0.14227086841655254
