Metric,Mean,SEM
Consensus Log P,1.4659999999999997,0.12947071741002547
#H-bond acceptors,5.0,0.42163702135578385
#H-bond donors,2.7,0.3958114029012639
#Rotatable bonds,8.4,0.6863753427324667
Bioavailability Score,0.5109999999999999,0.044583255451645376
Synthetic Accessibility,3.5099999999999993,0.2504573594224951
log Kp (cm/s),-7.797,0.17361547550069759
